user_id,last_login_to_now,duration,level_end,os_corr,active_days,avg_session_cnt,is_payer
iggve,0,379,32,0,246,2.8,1
10a5a,575,0,1,0,1,2,0
osgre,81,200,28,0,63,8.4,1
hgvdz,0,485,78,0,474,15.6,1
6fc22,520,67,29,0,46,6.6,0
dea49,589,0,4,0,1,3,0
gafdb,0,153,39,0,151,9.2,1
68be8,575,0,2,0,1,2,0
gdewm,0,261,61,0,255,7.4,1
7b830,316,263,22,0,16,6.3,0
0f53a,582,0,1,1,1,2,0
49dd0,484,95,7,0,2,2.5,0
ibegc,9,315,3,0,24,1.7,1
97d24,569,5,7,0,5,3.6,0
f066d,546,42,39,0,43,36.1,1
e6197,0,572,139,0,571,17.2,1
d2279,563,25,18,0,17,2.2,0
aa3ff,575,0,1,0,1,2,0
b1464,575,0,1,0,1,3,0
8ad65,508,71,34,0,53,6.6,1
85afc,500,81,36,1,64,8.1,1
f44b3,566,18,15,1,14,2.6,0
4215c,589,0,5,1,1,3,0
cff6e,576,1,1,0,2,1.5,0
vgqdz,62,431,50,0,193,7.2,1
3b556,0,586,87,0,582,21.9,1
relpn,193,164,34,0,134,2.8,1
7a5bb,578,1,1,0,2,1.5,0
e99ac,583,1,1,0,3,1.6,0
55a38,349,237,40,0,112,8.5,1
307a9,576,0,2,0,1,2,0
30756,526,52,31,0,45,10.5,1
bec21,250,329,12,0,15,2.8,0
bf87a,584,0,1,0,1,2,0
fc6e5,350,240,9,0,14,6.2,0
f9a59,511,75,12,0,6,3,0
epgde,0,379,91,0,367,19.3,1
95b82,403,171,31,0,68,5.7,0
c4215,579,0,3,0,1,6,0
910d4,574,6,9,0,5,4,0
c64a2,551,29,23,0,30,4.7,0
1b648,266,307,64,0,302,6,1
cgaek,3,359,67,1,319,10.2,1
bgmdz,367,116,40,0,59,23.1,1
ee5a6,387,189,27,1,48,3.5,0
sugld,400,106,27,1,40,2.5,1
gcfek,123,15,23,0,15,13.2,1
88fba,0,583,100,0,584,14.4,1
gretz,0,282,58,0,259,6.2,1
igaet,0,282,27,0,48,5.8,1
0d6ce,576,0,1,0,1,2,0
433bb,583,1,14,0,2,10,1
32105,91,484,35,0,54,9.2,1
kgpdv,330,197,53,1,524,10.3,1
3e6a6,590,0,1,1,1,2,0
glecm,0,469,77,0,440,15.2,1
ugnfj,0,80,32,0,78,8.6,1
efhyt,0,87,52,0,88,35.4,1
62c25,577,0,1,0,1,2,0
9495e,583,0,1,0,5,1.2,0
uewsw,133,127,42,0,118,6,1
e873d,583,0,1,1,1,2,0
wgsfm,1,42,25,0,24,4.9,1
xgqdz,328,164,37,0,145,3.4,1
d37bb,558,12,4,0,2,2,0
f951e,524,49,27,0,31,5.3,0
85b1b,2,582,39,0,96,8.7,0
9612f,572,14,1,0,3,4.3,0
8cede,575,0,1,0,1,2,0
tgheb,0,470,15,0,25,4.4,1
gvefv,43,384,24,0,31,2.9,1
f01d1,590,0,2,0,1,3,0
vehgm,0,444,46,0,207,20.2,1
edd0f,562,12,18,0,12,3,0
c9c9b,579,0,2,0,1,3,0
ac79d,581,4,16,0,5,12.2,0
mfddv,140,8,17,0,8,10.3,1
279de,585,0,1,0,1,3,0
48971,556,23,16,0,14,3.7,0
kgyea,80,122,54,0,95,22.8,1
defwu,431,7,22,0,8,13.1,1
gzeih,364,44,38,0,45,18.8,1
c9ecc,488,89,7,0,3,1.6,0
e2d54,364,207,36,0,53,5.5,0
a1e71,583,0,7,1,1,2,0
befpd,135,294,76,0,428,17.4,1
74387,0,582,96,0,494,21.8,0
26c8c,584,1,3,0,2,2.5,0
f3618,269,304,54,0,283,11.5,1
f8e16,585,0,1,1,1,2,0
d52dd,572,1,5,0,2,2,0
e155e,590,0,1,1,1,2,0
a89e0,50,525,35,0,186,6.6,1
f5ed6,332,239,41,0,97,7.5,1
kegvd,0,505,99,0,505,16.4,1
2a307,586,0,1,1,1,2,0
d5d78,333,244,31,1,77,4.9,1
0aec9,488,89,19,0,22,2.9,1
lgoen,102,234,45,0,178,9.2,1
0ef02,585,1,1,0,2,1.5,0
b772c,577,0,1,0,1,2,0
348bb,382,199,2,1,2,1.5,0
dgoew,232,8,26,0,9,15.4,1
4cfd4,482,108,6,0,4,2,0
eguel,321,25,19,1,23,5.6,1
8a64c,582,0,1,0,1,2,0
b819c,169,416,18,1,87,2.2,0
6f543,81,504,22,0,84,6.9,0
gbece,357,123,46,0,122,7.8,1
bexgm,243,110,29,0,78,3.3,1
86353,571,7,6,0,5,2.2,0
eb150,570,0,1,0,1,2,0
1a30b,582,4,1,0,2,2,0
wdghe,0,366,54,1,340,7.9,1
2a819,584,0,1,1,1,2,0
dbfec,586,0,1,0,1,2,0
7170b,567,16,1,0,3,1.3,0
hgfei,398,14,22,0,27,9.4,1
4006f,576,0,1,0,1,2,0
15d0b,578,0,1,1,1,2,0
aa056,582,0,2,0,1,2,0
2aa39,578,0,1,0,1,2,0
ed7a9,249,331,9,0,22,2,0
d4a07,554,17,10,0,10,2.7,0
uggfd,0,497,86,0,472,12.4,1
4d1d3,386,191,66,0,165,21.6,1
yqgpf,0,52,31,1,53,10.5,1
28c02,211,364,10,1,6,2.3,0
74fa9,556,29,27,1,26,8.6,0
5c7d1,518,61,36,0,61,6.8,1
66399,581,3,1,0,2,2.5,0
gzedu,50,404,104,0,453,27.1,1
pgmei,106,291,49,0,239,5.6,1
32420,580,3,10,0,4,4.2,0
264fc,572,3,2,0,2,2.5,0
wesqa,67,233,45,0,137,4.7,1
deknz,3,360,32,1,59,6.3,1
d0d0e,1,586,59,1,426,6.4,1
rguew,200,36,26,0,34,4,1
5e1f7,288,291,5,0,3,3,0
dkghf,69,96,40,0,86,4.3,1
uogle,0,221,87,0,222,25,1
b3ece,574,0,1,0,1,2,0
f5002,545,31,18,0,20,7.9,0
jgtdu,0,543,66,0,543,10,1
d1d3a,37,535,92,0,500,12.5,1
gceol,108,232,23,1,29,9.8,1
feyaj,159,59,27,1,27,7.7,1
wgldv,167,359,50,1,206,9.1,1
51f74,0,586,124,0,576,22.6,1
3c912,584,0,2,0,1,6,0
9.20E+25,569,2,7,1,3,1.6,0
